Sequence_identifier,_NormalizedVDWVC2,_PolarizabilityC2,_PolarizabilityC3,_ChargeC1,_PolarizabilityC1,_SecondaryStrC2,_SecondaryStrC3,_NormalizedVDWVC3,_SecondaryStrC1,_SolventAccessibilityC1,_SolventAccessibilityC2,_SolventAccessibilityC3,_NormalizedVDWVC1,_HydrophobicityC3,_HydrophobicityC1,_ChargeC3,_PolarityC2,_PolarityC1,_HydrophobicityC2,_PolarityC3,_ChargeC2
1731,0.452,0.484,0.194,0.065,0.323,0.355,0.097,0.194,0.548,0.581,0.161,0.258,0.355,0.452,0.161,0.065,0.097,0.516,0.387,0.065,0.871
1732,0.298,0.343,0.346,0.163,0.311,0.322,0.27,0.346,0.408,0.405,0.346,0.249,0.343,0.273,0.346,0.097,0.159,0.356,0.381,0.173,0.74
1733,0.388,0.448,0.26,0.117,0.292,0.271,0.307,0.26,0.422,0.407,0.377,0.215,0.345,0.292,0.377,0.134,0.247,0.32,0.33,0.141,0.748
1734,0.408,0.449,0.189,0.1,0.362,0.245,0.262,0.189,0.494,0.484,0.304,0.212,0.403,0.291,0.304,0.126,0.2,0.315,0.404,0.122,0.774
1735,0.335,0.412,0.216,0.097,0.372,0.221,0.3,0.216,0.479,0.452,0.29,0.258,0.444,0.32,0.29,0.156,0.174,0.335,0.39,0.119,0.747
1736,0.384,0.447,0.209,0.113,0.344,0.242,0.258,0.209,0.5,0.51,0.291,0.199,0.391,0.331,0.291,0.099,0.182,0.351,0.377,0.123,0.788
1737,0.372,0.427,0.251,0.096,0.322,0.272,0.259,0.251,0.469,0.485,0.272,0.243,0.36,0.343,0.272,0.109,0.184,0.372,0.385,0.121,0.795
1738,0.387,0.465,0.216,0.103,0.319,0.27,0.265,0.216,0.465,0.461,0.308,0.231,0.378,0.299,0.308,0.112,0.218,0.324,0.393,0.139,0.784
1739,0.349,0.392,0.277,0.127,0.331,0.253,0.211,0.277,0.536,0.464,0.307,0.229,0.367,0.337,0.307,0.127,0.169,0.349,0.355,0.151,0.747
1740,0.333,0.444,0.268,0.111,0.288,0.229,0.288,0.268,0.484,0.431,0.294,0.275,0.386,0.275,0.294,0.124,0.235,0.32,0.431,0.157,0.765
1741,0.427,0.463,0.239,0.096,0.298,0.303,0.206,0.239,0.491,0.482,0.303,0.216,0.326,0.349,0.303,0.124,0.188,0.376,0.349,0.138,0.78
1742,0.365,0.451,0.249,0.147,0.3,0.239,0.246,0.249,0.515,0.375,0.365,0.259,0.372,0.256,0.365,0.14,0.232,0.3,0.379,0.167,0.713
1743,0.353,0.411,0.203,0.087,0.387,0.313,0.337,0.203,0.35,0.474,0.258,0.268,0.445,0.295,0.258,0.071,0.192,0.326,0.447,0.095,0.842
1744,0.399,0.437,0.169,0.097,0.394,0.276,0.278,0.169,0.447,0.485,0.311,0.204,0.423,0.309,0.311,0.15,0.176,0.325,0.38,0.105,0.753
1745,0.373,0.422,0.207,0.094,0.37,0.286,0.23,0.207,0.484,0.509,0.262,0.23,0.417,0.314,0.262,0.116,0.168,0.341,0.425,0.121,0.79
1746,0.416,0.456,0.256,0.178,0.288,0.225,0.223,0.256,0.553,0.431,0.396,0.173,0.324,0.288,0.396,0.192,0.203,0.323,0.316,0.186,0.63
1747,0.394,0.438,0.208,0.103,0.354,0.221,0.249,0.208,0.53,0.481,0.337,0.182,0.383,0.315,0.337,0.138,0.19,0.333,0.348,0.123,0.759
1748,0.333,0.543,0.16,0.074,0.296,0.333,0.309,0.16,0.358,0.395,0.37,0.235,0.395,0.296,0.37,0.235,0.272,0.346,0.333,0.086,0.691
1749,0.357,0.421,0.285,0.124,0.295,0.271,0.269,0.285,0.461,0.397,0.355,0.248,0.339,0.289,0.355,0.142,0.212,0.343,0.357,0.15,0.733
1750,0.222,0.325,0.206,0.087,0.468,0.278,0.278,0.206,0.444,0.452,0.246,0.302,0.516,0.262,0.246,0.111,0.135,0.302,0.492,0.095,0.802
1751,0.349,0.407,0.222,0.098,0.371,0.265,0.295,0.222,0.44,0.484,0.28,0.236,0.425,0.298,0.28,0.127,0.16,0.331,0.422,0.138,0.775
1752,0.333,0.442,0.231,0.102,0.327,0.31,0.282,0.231,0.408,0.463,0.306,0.231,0.378,0.31,0.306,0.136,0.19,0.344,0.384,0.139,0.762
1753,0.316,0.37,0.31,0.102,0.32,0.28,0.268,0.31,0.452,0.416,0.324,0.26,0.366,0.304,0.324,0.146,0.2,0.348,0.372,0.132,0.752
1754,0.389,0.467,0.254,0.125,0.279,0.235,0.317,0.254,0.448,0.364,0.342,0.295,0.345,0.326,0.342,0.147,0.223,0.348,0.332,0.15,0.727
1755,0.378,0.427,0.304,0.131,0.269,0.302,0.287,0.304,0.411,0.407,0.384,0.209,0.287,0.322,0.384,0.156,0.202,0.373,0.293,0.156,0.713
1756,0.485,0.505,0.196,0.093,0.299,0.175,0.247,0.196,0.577,0.371,0.454,0.175,0.32,0.258,0.454,0.144,0.34,0.268,0.289,0.093,0.763
1757,0.343,0.4,0.181,0.066,0.419,0.256,0.282,0.181,0.462,0.552,0.226,0.222,0.467,0.32,0.226,0.101,0.144,0.336,0.455,0.101,0.833
1758,0.344,0.396,0.195,0.084,0.409,0.247,0.357,0.195,0.396,0.461,0.292,0.247,0.442,0.247,0.292,0.117,0.188,0.253,0.461,0.149,0.799
1759,0.417,0.431,0.269,0.167,0.301,0.273,0.273,0.269,0.454,0.389,0.44,0.171,0.306,0.282,0.44,0.144,0.199,0.324,0.278,0.176,0.69
1760,0.301,0.372,0.277,0.094,0.351,0.298,0.298,0.277,0.404,0.434,0.304,0.263,0.41,0.304,0.304,0.145,0.195,0.336,0.392,0.118,0.761
1761,0.335,0.406,0.281,0.053,0.313,0.374,0.27,0.281,0.356,0.609,0.146,0.246,0.367,0.445,0.146,0.053,0.125,0.477,0.409,0.085,0.893
1762,0.286,0.369,0.209,0.097,0.422,0.257,0.316,0.209,0.427,0.524,0.223,0.252,0.481,0.296,0.223,0.078,0.146,0.316,0.481,0.117,0.825
1763,0.34,0.395,0.284,0.098,0.321,0.303,0.269,0.284,0.427,0.423,0.306,0.271,0.363,0.318,0.306,0.139,0.169,0.372,0.376,0.139,0.763
1764,0.301,0.447,0.252,0.098,0.301,0.358,0.252,0.252,0.39,0.431,0.276,0.293,0.333,0.39,0.276,0.098,0.171,0.423,0.333,0.106,0.805
1765,0.376,0.448,0.32,0.168,0.232,0.304,0.24,0.32,0.456,0.376,0.392,0.232,0.288,0.28,0.392,0.112,0.232,0.36,0.328,0.176,0.72
1766,0.365,0.422,0.255,0.095,0.322,0.296,0.301,0.255,0.403,0.442,0.296,0.263,0.368,0.325,0.296,0.119,0.191,0.363,0.379,0.124,0.785
1767,0.357,0.417,0.253,0.12,0.331,0.266,0.279,0.253,0.456,0.445,0.32,0.234,0.378,0.294,0.32,0.12,0.193,0.333,0.385,0.143,0.76
1768,0.407,0.459,0.214,0.103,0.328,0.283,0.262,0.214,0.455,0.476,0.331,0.193,0.355,0.334,0.331,0.159,0.197,0.366,0.334,0.11,0.738
1769,0.324,0.446,0.25,0.108,0.304,0.291,0.331,0.25,0.378,0.392,0.318,0.291,0.405,0.318,0.318,0.122,0.223,0.345,0.365,0.128,0.77
1770,0.305,0.378,0.267,0.097,0.355,0.314,0.317,0.267,0.37,0.446,0.302,0.252,0.413,0.311,0.302,0.141,0.191,0.337,0.387,0.117,0.762
1771,0.282,0.442,0.211,0.105,0.347,0.214,0.442,0.211,0.344,0.35,0.313,0.337,0.48,0.228,0.313,0.112,0.279,0.255,0.459,0.119,0.782
1772,0.361,0.396,0.254,0.15,0.35,0.251,0.246,0.254,0.503,0.405,0.376,0.22,0.37,0.277,0.376,0.156,0.168,0.312,0.347,0.171,0.694
1773,0.364,0.399,0.254,0.147,0.347,0.257,0.249,0.254,0.494,0.413,0.373,0.214,0.37,0.286,0.373,0.15,0.173,0.318,0.341,0.162,0.702
1774,0.432,0.502,0.229,0.092,0.27,0.279,0.235,0.229,0.486,0.441,0.324,0.235,0.333,0.333,0.324,0.146,0.232,0.365,0.343,0.133,0.762
1775,0.426,0.494,0.173,0.079,0.333,0.297,0.277,0.173,0.426,0.398,0.318,0.284,0.391,0.305,0.318,0.138,0.25,0.316,0.377,0.101,0.784
1776,0.368,0.438,0.251,0.121,0.311,0.276,0.279,0.251,0.444,0.463,0.305,0.232,0.368,0.33,0.305,0.114,0.19,0.356,0.365,0.143,0.765
1777,0.329,0.474,0.314,0.142,0.212,0.317,0.212,0.314,0.471,0.48,0.342,0.178,0.255,0.357,0.342,0.114,0.209,0.388,0.302,0.191,0.745
1778,0.375,0.428,0.257,0.12,0.315,0.278,0.277,0.257,0.445,0.428,0.341,0.231,0.36,0.307,0.341,0.134,0.206,0.342,0.352,0.137,0.746
1779,0.362,0.418,0.252,0.122,0.33,0.264,0.266,0.252,0.47,0.442,0.327,0.231,0.381,0.288,0.327,0.133,0.192,0.322,0.385,0.156,0.745
1780,0.319,0.408,0.122,0.063,0.47,0.247,0.316,0.122,0.438,0.563,0.22,0.217,0.546,0.27,0.22,0.082,0.178,0.273,0.51,0.079,0.855
1781,0.37,0.473,0.25,0.123,0.277,0.337,0.273,0.25,0.39,0.423,0.333,0.243,0.327,0.36,0.333,0.117,0.2,0.377,0.307,0.147,0.76
1782,0.382,0.441,0.276,0.118,0.283,0.309,0.27,0.276,0.421,0.474,0.322,0.204,0.322,0.355,0.322,0.138,0.191,0.382,0.322,0.145,0.743
1783,0.311,0.461,0.207,0.071,0.331,0.319,0.319,0.207,0.361,0.443,0.258,0.299,0.401,0.311,0.258,0.082,0.227,0.346,0.431,0.096,0.847
1784,0.315,0.4,0.242,0.097,0.358,0.255,0.273,0.242,0.473,0.479,0.315,0.206,0.418,0.285,0.315,0.139,0.2,0.303,0.4,0.139,0.764
1785,0.39,0.458,0.259,0.15,0.283,0.226,0.278,0.259,0.496,0.342,0.395,0.262,0.341,0.255,0.395,0.152,0.257,0.282,0.349,0.178,0.698
1786,0.389,0.463,0.249,0.083,0.288,0.271,0.275,0.249,0.454,0.454,0.279,0.266,0.358,0.314,0.279,0.092,0.236,0.336,0.406,0.14,0.825
1787,0.338,0.443,0.191,0.058,0.365,0.32,0.371,0.191,0.31,0.46,0.252,0.288,0.457,0.288,0.252,0.105,0.227,0.343,0.46,0.064,0.838
1788,0.42,0.472,0.248,0.121,0.28,0.263,0.259,0.248,0.478,0.424,0.355,0.221,0.317,0.336,0.355,0.132,0.215,0.363,0.309,0.142,0.747
1789,0.377,0.439,0.253,0.09,0.308,0.28,0.284,0.253,0.436,0.46,0.294,0.246,0.356,0.325,0.294,0.107,0.218,0.356,0.381,0.118,0.803
1790,0.424,0.491,0.273,0.132,0.236,0.302,0.344,0.273,0.354,0.337,0.418,0.246,0.279,0.288,0.418,0.137,0.265,0.331,0.294,0.168,0.731
1791,0.27,0.333,0.242,0.102,0.425,0.221,0.302,0.242,0.477,0.512,0.249,0.239,0.474,0.281,0.249,0.123,0.126,0.295,0.47,0.154,0.775
1792,0.435,0.471,0.237,0.108,0.291,0.318,0.261,0.237,0.42,0.435,0.354,0.21,0.318,0.336,0.354,0.153,0.207,0.375,0.309,0.126,0.739
1793,0.395,0.433,0.225,0.108,0.342,0.31,0.295,0.225,0.395,0.397,0.346,0.257,0.378,0.293,0.346,0.138,0.2,0.333,0.361,0.125,0.754
1794,0.269,0.348,0.254,0.086,0.398,0.287,0.323,0.254,0.391,0.459,0.269,0.272,0.473,0.258,0.269,0.108,0.201,0.297,0.473,0.104,0.806
1795,0.376,0.426,0.238,0.092,0.337,0.287,0.305,0.238,0.408,0.465,0.294,0.241,0.383,0.326,0.294,0.128,0.188,0.358,0.379,0.117,0.78
1796,0.368,0.428,0.303,0.145,0.27,0.296,0.27,0.303,0.434,0.454,0.336,0.211,0.316,0.349,0.336,0.132,0.184,0.375,0.316,0.171,0.724
1797,0.326,0.379,0.326,0.153,0.295,0.295,0.253,0.326,0.453,0.363,0.379,0.258,0.337,0.279,0.379,0.153,0.211,0.311,0.342,0.184,0.695
1798,0.358,0.421,0.196,0.078,0.383,0.29,0.29,0.196,0.42,0.525,0.219,0.256,0.433,0.335,0.219,0.073,0.157,0.366,0.446,0.094,0.849
1799,0.335,0.381,0.3,0.149,0.319,0.254,0.297,0.3,0.449,0.384,0.373,0.243,0.351,0.3,0.373,0.157,0.17,0.327,0.327,0.184,0.695
1800,0.35,0.419,0.309,0.138,0.272,0.272,0.29,0.309,0.438,0.419,0.359,0.221,0.332,0.309,0.359,0.152,0.23,0.35,0.332,0.147,0.71
1801,0.352,0.407,0.213,0.126,0.379,0.277,0.316,0.213,0.407,0.474,0.332,0.194,0.431,0.289,0.332,0.13,0.182,0.304,0.379,0.134,0.743
1802,0.283,0.362,0.287,0.087,0.35,0.272,0.374,0.287,0.354,0.425,0.268,0.307,0.417,0.256,0.268,0.055,0.22,0.307,0.476,0.122,0.858
1803,0.401,0.467,0.277,0.089,0.257,0.362,0.242,0.277,0.396,0.461,0.291,0.248,0.286,0.41,0.291,0.107,0.175,0.454,0.298,0.114,0.805
1804,0.366,0.444,0.239,0.12,0.317,0.246,0.289,0.239,0.465,0.437,0.331,0.232,0.394,0.261,0.331,0.155,0.239,0.296,0.408,0.148,0.725
1805,0.304,0.386,0.269,0.117,0.345,0.322,0.327,0.269,0.351,0.485,0.287,0.228,0.392,0.322,0.287,0.099,0.17,0.339,0.392,0.146,0.784
1806,0.419,0.452,0.203,0.101,0.346,0.23,0.249,0.203,0.521,0.498,0.336,0.166,0.369,0.341,0.336,0.166,0.198,0.341,0.323,0.115,0.733
1807,0.375,0.415,0.28,0.127,0.306,0.262,0.238,0.28,0.501,0.422,0.325,0.253,0.337,0.312,0.325,0.126,0.18,0.356,0.363,0.159,0.747
1808,0.327,0.39,0.259,0.092,0.351,0.325,0.349,0.259,0.325,0.399,0.29,0.311,0.409,0.27,0.29,0.102,0.194,0.342,0.44,0.113,0.806
1809,0.37,0.424,0.292,0.164,0.284,0.254,0.273,0.292,0.473,0.349,0.422,0.229,0.313,0.275,0.422,0.168,0.229,0.315,0.303,0.172,0.668
1810,0.315,0.379,0.228,0.095,0.393,0.283,0.321,0.228,0.396,0.465,0.275,0.26,0.448,0.289,0.275,0.127,0.168,0.312,0.436,0.127,0.777
1811,0.375,0.428,0.296,0.132,0.276,0.296,0.263,0.296,0.441,0.461,0.329,0.211,0.316,0.349,0.329,0.132,0.191,0.375,0.322,0.158,0.737
1812,0.368,0.421,0.303,0.138,0.276,0.289,0.263,0.303,0.447,0.454,0.336,0.211,0.316,0.349,0.336,0.132,0.191,0.375,0.316,0.158,0.73
1813,0.421,0.466,0.226,0.113,0.308,0.276,0.308,0.226,0.416,0.33,0.389,0.281,0.339,0.276,0.389,0.154,0.253,0.294,0.335,0.145,0.733
1814,0.388,0.447,0.312,0.127,0.241,0.342,0.253,0.312,0.405,0.422,0.346,0.232,0.274,0.346,0.346,0.114,0.211,0.401,0.308,0.148,0.759
1815,0.316,0.449,0.206,0.088,0.346,0.279,0.382,0.206,0.338,0.471,0.301,0.228,0.397,0.316,0.301,0.074,0.235,0.316,0.382,0.103,0.838
1816,0.324,0.411,0.265,0.107,0.324,0.312,0.312,0.265,0.375,0.461,0.265,0.274,0.398,0.316,0.265,0.082,0.187,0.366,0.419,0.124,0.811
1817,0.374,0.437,0.181,0.085,0.381,0.241,0.274,0.181,0.485,0.533,0.248,0.219,0.437,0.322,0.248,0.093,0.17,0.341,0.43,0.107,0.822
1818,0.355,0.401,0.231,0.082,0.369,0.3,0.34,0.231,0.361,0.456,0.284,0.26,0.403,0.305,0.284,0.069,0.186,0.347,0.411,0.098,0.849
1819,0.324,0.4,0.238,0.121,0.362,0.294,0.285,0.238,0.421,0.456,0.315,0.229,0.406,0.297,0.315,0.141,0.165,0.332,0.388,0.141,0.738
1820,0.327,0.405,0.245,0.078,0.35,0.327,0.327,0.245,0.346,0.42,0.272,0.307,0.424,0.311,0.272,0.136,0.195,0.35,0.416,0.105,0.786
1821,0.389,0.434,0.217,0.129,0.349,0.289,0.283,0.217,0.429,0.451,0.334,0.214,0.377,0.32,0.334,0.134,0.166,0.334,0.346,0.151,0.737
1822,0.271,0.331,0.244,0.083,0.425,0.289,0.331,0.244,0.38,0.496,0.267,0.237,0.481,0.267,0.267,0.109,0.173,0.305,0.466,0.098,0.808
1823,0.379,0.432,0.258,0.111,0.311,0.259,0.341,0.258,0.4,0.358,0.351,0.291,0.347,0.302,0.351,0.122,0.212,0.339,0.347,0.139,0.767
1824,0.324,0.462,0.258,0.123,0.279,0.291,0.306,0.258,0.402,0.426,0.315,0.258,0.372,0.303,0.315,0.096,0.24,0.345,0.381,0.135,0.781
1825,0.335,0.396,0.24,0.113,0.364,0.248,0.293,0.24,0.459,0.475,0.298,0.227,0.412,0.306,0.298,0.121,0.172,0.33,0.396,0.135,0.765
1826,0.377,0.428,0.284,0.065,0.288,0.419,0.228,0.284,0.353,0.544,0.167,0.288,0.33,0.442,0.167,0.056,0.126,0.498,0.391,0.088,0.879
1827,0.385,0.456,0.212,0.112,0.333,0.287,0.277,0.212,0.436,0.467,0.301,0.232,0.39,0.319,0.301,0.114,0.197,0.336,0.381,0.135,0.773
1828,0.305,0.401,0.286,0.171,0.313,0.278,0.275,0.286,0.447,0.38,0.364,0.257,0.364,0.291,0.364,0.126,0.174,0.324,0.345,0.19,0.703
1829,0.325,0.404,0.26,0.108,0.336,0.29,0.257,0.26,0.453,0.431,0.293,0.276,0.396,0.29,0.293,0.114,0.19,0.339,0.417,0.136,0.778
1830,0.326,0.397,0.255,0.106,0.348,0.291,0.258,0.255,0.451,0.44,0.296,0.264,0.405,0.291,0.296,0.117,0.188,0.334,0.413,0.13,0.777
1831,0.449,0.51,0.201,0.073,0.289,0.266,0.292,0.201,0.442,0.449,0.295,0.256,0.322,0.38,0.295,0.101,0.21,0.396,0.325,0.104,0.826
1832,0.363,0.448,0.209,0.065,0.343,0.274,0.299,0.209,0.428,0.468,0.254,0.279,0.413,0.333,0.254,0.119,0.204,0.353,0.413,0.1,0.816
1833,0.272,0.437,0.165,0.076,0.397,0.188,0.462,0.165,0.35,0.44,0.238,0.322,0.553,0.222,0.238,0.1,0.271,0.235,0.54,0.097,0.824
1834,0.325,0.38,0.281,0.149,0.34,0.198,0.252,0.281,0.55,0.373,0.396,0.231,0.38,0.226,0.396,0.172,0.231,0.252,0.377,0.177,0.679
1835,0.349,0.416,0.302,0.136,0.283,0.297,0.259,0.302,0.444,0.432,0.349,0.219,0.318,0.334,0.349,0.132,0.189,0.364,0.317,0.164,0.732
1836,0.349,0.421,0.303,0.135,0.276,0.312,0.26,0.303,0.429,0.43,0.349,0.221,0.315,0.346,0.349,0.135,0.19,0.374,0.306,0.16,0.73
1837,0.357,0.427,0.25,0.1,0.323,0.275,0.275,0.25,0.45,0.397,0.321,0.282,0.355,0.313,0.321,0.142,0.197,0.346,0.366,0.135,0.758
1838,0.372,0.429,0.22,0.11,0.351,0.279,0.269,0.22,0.453,0.466,0.302,0.231,0.394,0.307,0.302,0.118,0.179,0.338,0.39,0.132,0.772
1839,0.401,0.461,0.169,0.079,0.371,0.296,0.315,0.169,0.39,0.517,0.27,0.213,0.423,0.363,0.27,0.127,0.161,0.375,0.367,0.094,0.794
1840,0.349,0.419,0.267,0.1,0.315,0.281,0.315,0.267,0.405,0.441,0.327,0.232,0.373,0.313,0.327,0.128,0.212,0.357,0.361,0.116,0.772
1841,0.421,0.472,0.222,0.108,0.307,0.304,0.291,0.222,0.405,0.475,0.31,0.215,0.345,0.354,0.31,0.104,0.177,0.38,0.335,0.136,0.788
1842,0.39,0.473,0.244,0.118,0.283,0.248,0.281,0.244,0.471,0.385,0.358,0.257,0.349,0.278,0.358,0.129,0.261,0.304,0.364,0.152,0.752
1843,0.36,0.43,0.326,0.233,0.244,0.244,0.194,0.326,0.562,0.426,0.395,0.178,0.302,0.302,0.395,0.093,0.19,0.318,0.302,0.248,0.674
1844,0.346,0.445,0.232,0.109,0.323,0.307,0.328,0.232,0.365,0.378,0.313,0.31,0.406,0.292,0.313,0.12,0.229,0.326,0.396,0.122,0.771
1845,0.344,0.443,0.232,0.109,0.326,0.307,0.331,0.232,0.362,0.38,0.31,0.31,0.409,0.292,0.31,0.117,0.227,0.326,0.398,0.122,0.773
1846,0.255,0.333,0.241,0.092,0.426,0.348,0.262,0.241,0.39,0.553,0.191,0.255,0.475,0.298,0.191,0.064,0.113,0.348,0.511,0.113,0.844
1847,0.336,0.403,0.27,0.123,0.327,0.223,0.313,0.27,0.464,0.45,0.299,0.251,0.384,0.28,0.299,0.109,0.19,0.322,0.422,0.161,0.768
1848,0.298,0.327,0.327,0.115,0.346,0.24,0.25,0.327,0.51,0.433,0.327,0.24,0.375,0.298,0.327,0.125,0.154,0.327,0.375,0.173,0.76
1849,0.379,0.503,0.168,0.074,0.329,0.176,0.342,0.168,0.481,0.444,0.29,0.266,0.442,0.279,0.29,0.148,0.279,0.292,0.431,0.1,0.778
1850,0.344,0.425,0.247,0.098,0.328,0.267,0.309,0.247,0.423,0.388,0.308,0.305,0.395,0.273,0.308,0.097,0.228,0.314,0.419,0.13,0.805
1851,0.332,0.384,0.253,0.111,0.364,0.27,0.332,0.253,0.398,0.358,0.344,0.298,0.406,0.276,0.344,0.139,0.193,0.31,0.381,0.134,0.75
1852,0.361,0.433,0.264,0.12,0.303,0.279,0.322,0.264,0.399,0.418,0.317,0.264,0.365,0.293,0.317,0.12,0.202,0.341,0.389,0.154,0.76
1853,0.365,0.435,0.293,0.183,0.272,0.204,0.249,0.293,0.547,0.338,0.423,0.239,0.323,0.257,0.423,0.17,0.237,0.279,0.32,0.211,0.647
1854,0.296,0.358,0.238,0.061,0.404,0.326,0.346,0.238,0.328,0.415,0.251,0.333,0.464,0.268,0.251,0.097,0.192,0.318,0.48,0.086,0.842
1855,0.388,0.463,0.238,0.098,0.299,0.262,0.234,0.238,0.505,0.467,0.29,0.243,0.355,0.336,0.29,0.121,0.206,0.379,0.374,0.117,0.78
1856,0.314,0.403,0.242,0.096,0.355,0.297,0.354,0.242,0.349,0.391,0.309,0.3,0.439,0.249,0.309,0.095,0.239,0.289,0.442,0.117,0.809
1857,0.293,0.382,0.266,0.138,0.352,0.249,0.298,0.266,0.453,0.456,0.281,0.264,0.429,0.291,0.281,0.106,0.172,0.315,0.429,0.16,0.756
1858,0.33,0.377,0.233,0.107,0.39,0.274,0.248,0.233,0.478,0.469,0.283,0.248,0.431,0.283,0.283,0.129,0.176,0.299,0.434,0.135,0.764
1859,0.398,0.462,0.232,0.127,0.306,0.309,0.232,0.232,0.459,0.443,0.354,0.204,0.331,0.325,0.354,0.124,0.197,0.36,0.322,0.137,0.748
1860,0.346,0.437,0.201,0.104,0.362,0.224,0.335,0.201,0.441,0.403,0.307,0.289,0.444,0.262,0.307,0.094,0.237,0.28,0.431,0.12,0.802
1861,0.367,0.469,0.194,0.086,0.337,0.291,0.356,0.194,0.353,0.383,0.294,0.323,0.423,0.286,0.294,0.1,0.243,0.326,0.42,0.094,0.814
1862,0.341,0.433,0.23,0.12,0.337,0.26,0.297,0.23,0.443,0.461,0.293,0.246,0.417,0.307,0.293,0.112,0.197,0.323,0.4,0.142,0.768
1863,0.359,0.403,0.23,0.117,0.367,0.282,0.27,0.23,0.448,0.516,0.302,0.181,0.395,0.306,0.302,0.121,0.161,0.323,0.391,0.149,0.762
1864,0.339,0.398,0.204,0.099,0.398,0.27,0.321,0.204,0.409,0.529,0.27,0.201,0.434,0.307,0.27,0.102,0.164,0.325,0.423,0.113,0.799
1865,0.316,0.38,0.247,0.116,0.373,0.26,0.296,0.247,0.444,0.446,0.299,0.255,0.431,0.267,0.299,0.125,0.186,0.304,0.434,0.137,0.759
1866,0.355,0.461,0.289,0.158,0.25,0.237,0.289,0.289,0.474,0.434,0.289,0.276,0.355,0.329,0.289,0.079,0.211,0.368,0.382,0.171,0.763
1867,0.29,0.38,0.221,0.122,0.4,0.208,0.315,0.221,0.476,0.484,0.3,0.216,0.479,0.268,0.3,0.122,0.184,0.275,0.432,0.141,0.757
1868,0.393,0.513,0.169,0.1,0.318,0.282,0.293,0.169,0.425,0.419,0.291,0.289,0.412,0.293,0.291,0.092,0.258,0.316,0.415,0.109,0.808
1869,0.333,0.415,0.25,0.097,0.334,0.304,0.292,0.25,0.403,0.459,0.286,0.255,0.393,0.313,0.286,0.114,0.193,0.358,0.4,0.114,0.789
1870,0.28,0.438,0.152,0.076,0.41,0.273,0.349,0.152,0.377,0.406,0.239,0.356,0.508,0.26,0.239,0.089,0.223,0.271,0.501,0.095,0.835
1871,0.343,0.421,0.238,0.11,0.341,0.244,0.316,0.238,0.44,0.45,0.3,0.25,0.397,0.308,0.3,0.099,0.2,0.337,0.393,0.122,0.791
1872,0.255,0.437,0.16,0.076,0.403,0.174,0.468,0.16,0.359,0.46,0.223,0.317,0.571,0.217,0.223,0.094,0.274,0.227,0.56,0.096,0.831
1873,0.323,0.393,0.307,0.118,0.3,0.291,0.31,0.307,0.399,0.399,0.319,0.281,0.358,0.297,0.319,0.109,0.198,0.345,0.383,0.157,0.773
1874,0.341,0.401,0.237,0.112,0.362,0.251,0.306,0.237,0.442,0.438,0.326,0.236,0.413,0.273,0.326,0.126,0.206,0.303,0.401,0.129,0.763
1875,0.355,0.428,0.234,0.119,0.338,0.274,0.301,0.234,0.425,0.448,0.315,0.237,0.394,0.289,0.315,0.114,0.192,0.318,0.396,0.152,0.767
1876,0.337,0.385,0.257,0.114,0.358,0.277,0.286,0.257,0.437,0.489,0.306,0.205,0.387,0.325,0.306,0.116,0.155,0.352,0.369,0.135,0.77
1877,0.357,0.435,0.236,0.084,0.329,0.311,0.291,0.236,0.397,0.467,0.267,0.265,0.385,0.341,0.267,0.11,0.186,0.381,0.391,0.104,0.806
1878,0.36,0.396,0.246,0.108,0.358,0.284,0.28,0.246,0.436,0.445,0.326,0.229,0.39,0.292,0.326,0.148,0.178,0.343,0.381,0.121,0.744
1879,0.318,0.383,0.212,0.095,0.405,0.294,0.288,0.212,0.418,0.524,0.255,0.221,0.457,0.32,0.255,0.132,0.128,0.338,0.424,0.13,0.773
1880,0.393,0.428,0.239,0.122,0.333,0.311,0.254,0.239,0.435,0.475,0.341,0.184,0.356,0.316,0.341,0.147,0.187,0.343,0.343,0.137,0.731
1881,0.462,0.557,0.179,0.104,0.264,0.33,0.226,0.179,0.443,0.481,0.33,0.189,0.311,0.368,0.33,0.085,0.236,0.387,0.302,0.113,0.811
1882,0.336,0.445,0.226,0.11,0.329,0.295,0.26,0.226,0.445,0.459,0.301,0.24,0.39,0.308,0.301,0.123,0.212,0.342,0.39,0.116,0.767
1883,0.3,0.432,0.221,0.127,0.347,0.244,0.347,0.221,0.408,0.329,0.333,0.338,0.427,0.23,0.333,0.094,0.258,0.254,0.437,0.141,0.779
1884,0.327,0.401,0.232,0.108,0.367,0.22,0.325,0.232,0.455,0.421,0.289,0.291,0.427,0.259,0.289,0.084,0.202,0.283,0.453,0.148,0.808
1885,0.407,0.482,0.241,0.137,0.277,0.227,0.266,0.241,0.507,0.376,0.386,0.238,0.343,0.279,0.386,0.136,0.271,0.296,0.335,0.156,0.727
1886,0.31,0.434,0.217,0.08,0.35,0.241,0.331,0.217,0.428,0.398,0.239,0.363,0.458,0.265,0.239,0.092,0.23,0.297,0.495,0.123,0.828
1887,0.365,0.469,0.205,0.085,0.326,0.232,0.365,0.205,0.403,0.317,0.319,0.364,0.417,0.232,0.319,0.075,0.293,0.254,0.449,0.127,0.84
1888,0.362,0.396,0.271,0.121,0.333,0.256,0.242,0.271,0.502,0.401,0.343,0.256,0.367,0.285,0.343,0.14,0.184,0.324,0.372,0.159,0.739
